,ID,Latitude,Longitude,Elevation,State,Name,GSN_Flag,HCN_CRN_Flag,WMO_ID,Koppen
83933,US1TXAC0002,33.8281,-98.5492,305.7,TX,WICHITA FALLS 5.2 SSW,,,,Cfa
83934,US1TXAC0003,33.5838,-98.6298,323.7,TX,ARCHER CITY 0.7 SSW,,,,Cfa
83935,US1TXAC0005,33.7762,-98.535,300.2,TX,WICHITA FALLS 8.5 S,,,,Cfa
83936,US1TXAC0009,33.8328,-98.536,300.5,TX,WICHITA FALLS 4.6 SSW,,,,Cfa
83937,US1TXAD0002,32.0533,-102.8796,973.5,TX,ANDREWS 26.7 SW,,,,BSk
83938,US1TXAG0001,31.3213,-94.8445,91.1,TX,LUFKIN 7.0 W,,,,Cfa
83939,US1TXAG0002,31.1464,-94.3856,94.2,TX,ZAVALLA 2.0 ESE,,,,Cfa
83940,US1TXAG0003,31.3034,-94.7627,75.3,TX,LUFKIN 3.0 SW,,,,Cfa
83941,US1TXAG0004,31.2058,-94.3357,57.0,TX,ZAVALLA 5.9 NE,,,,Cfa
83942,US1TXAG0005,31.3212,-94.7211,86.0,TX,LUFKIN 0.9 SSE,,,,Cfa
83943,US1TXAG0006,31.3627,-94.8074,105.8,TX,LUFKIN 5.2 WNW,,,,Cfa
83944,US1TXAG0009,31.298,-94.8473,78.0,TX,LUFKIN 7.6 WSW,,,,Cfa
83945,US1TXAG0010,31.3283,-94.7815,101.5,TX,HUDSON 0.9 E,,,,Cfa
83946,US1TXAG0011,31.1728,-94.4217,74.7,TX,ZAVALLA 1.1 NNW,,,,Cfa
83947,US1TXAM0002,34.9449,-101.5942,907.1,TX,CLAUDE 17.3 SW,,,,BSk
83948,US1TXAN0002,31.7877,-95.5268,101.8,TX,PALESTINE 7.3 ENE,,,,Cfa
83949,US1TXAN0003,31.8355,-95.4705,114.3,TX,PALESTINE 11.7 ENE,,,,Cfa
83950,US1TXAN0004,31.7596,-95.6154,146.9,TX,PALESTINE 1.8 E,,,,Cfa
83951,US1TXAN0006,31.7874,-95.7029,132.0,TX,PALESTINE 3.9 WNW,,,,Cfa
83952,US1TXAN0007,31.7446,-95.6192,166.4,TX,PALESTINE 1.8 ESE,,,,Cfa
83953,US1TXAN0008,32.0101,-95.64,142.3,TX,PALESTINE 17.5 N,,,,Cfa
83954,US1TXAN0009,31.9958,-95.7104,95.1,TX,PALESTINE 17.0 NNW,,,,Cfa
83955,US1TXAR0003,28.0694,-97.0648,11.0,TX,ROCKPORT 2.1 NNW,,,,Cfa
83956,US1TXAR0005,28.0497,-97.0531,4.9,TX,ROCKPORT 0.6 N,,,,Cfa
83957,US1TXAR0006,28.0825,-97.0626,3.4,TX,ROCKPORT 3.0 NNW,,,,Cfa
83958,US1TXAR0007,28.0357,-97.0717,5.8,TX,ROCKPORT 1.3 WSW,,,,Cfa
83959,US1TXAR0008,27.9727,-97.1349,6.1,TX,ARANSAS PASS 6.1 NNW,,,,Cfa
83960,US1TXAR0009,28.0723,-97.0389,5.5,TX,ROCKPORT 2.3 NNE,,,,Cfa
83961,US1TXAR0010,28.3103,-96.8039,4.9,TX,AUSTWELL 6.0 SSE,,,,Cfa
83962,US1TXAR0014,27.9894,-97.0949,2.1,TX,ROCKPORT 4.4 SW,,,,Cfa
83963,US1TXAS0001,29.7904,-96.1599,57.6,TX,SEALY 1.2 NNW,,,,Cfa
83964,US1TXAS0002,29.8925,-96.489,118.9,TX,NEW ULM 0.1 ENE,,,,Cfa
83965,US1TXAS0003,29.881,-96.331,93.3,TX,CAT SPRING 3.8 N,,,,Cfa
83966,US1TXAS0004,29.9515,-96.2544,84.4,TX,BELLVILLE 0.4 NE,,,,Cfa
83967,US1TXAS0005,29.7757,-96.1581,59.1,TX,SEALY 0.3 WNW,,,,Cfa
83968,US1TXAS0006,29.8029,-96.1211,55.8,TX,SAN FELIPE 1.0 WNW,,,,Cfa
83969,US1TXAS0007,29.7967,-96.1394,53.6,TX,SEALY 1.9 NNE,,,,Cfa
83970,US1TXAS0008,30.0255,-96.4733,116.1,TX,INDUSTRY 4.0 NNE,,,,Cfa
83971,US1TXAS0010,29.8322,-96.162,52.4,TX,SEALY 4.1 N,,,,Cfa
83972,US1TXAS0011,29.8553,-96.3207,96.6,TX,CAT SPRING 0.7 NNE,,,,Cfa
83973,US1TXAS0012,29.8662,-96.3264,91.7,TX,CAT SPRING 1.4 N,,,,Cfa
83974,US1TXAS0014,29.9082,-96.139,43.9,TX,BELLVILLE 7.6 ESE,,,,Cfa
83975,US1TXAS0015,30.0341,-96.2209,79.2,TX,BELLVILLE 6.5 NNE,,,,Cfa
83976,US1TXAS0016,30.0171,-96.2825,96.6,TX,BELLVILLE 5.1 NNW,,,,Cfa
83977,US1TXAS0017,29.6411,-96.051,41.5,TX,WALLIS 1.1 NE,,,,Cfa
83978,US1TXAS0018,29.9508,-96.2452,83.8,TX,BELLVILLE 0.9 ENE,,,,Cfa
83979,US1TXAS0019,29.8488,-96.3239,96.9,TX,BELLVILLE 7.8 SSW,,,,Cfa
83980,US1TXAS0021,29.7967,-96.1452,50.9,TX,SEALY 1.7 NNE,,,,Cfa
83981,US1TXAS0022,29.9854,-96.3148,99.1,TX,BELLVILLE 4.3 NW,,,,Cfa
83982,US1TXAT0001,29.0654,-98.516,146.0,TX,POTEET 4.1 ENE,,,,Cfa
83983,US1TXAT0002,28.955,-98.5186,125.9,TX,PLEASANTON 1.8 WSW,,,,Cfa
83984,US1TXAT0005,28.8316,-98.5792,131.1,TX,JOURDANTON 6.0 SSW,,,,Cfa
83985,US1TXAT0007,28.9692,-98.4936,121.9,TX,PLEASANTON 0.3 NNW,,,,Cfa
83986,US1TXAT0008,28.9756,-98.4851,107.9,TX,PLEASANTON 0.9 NNE,,,,Cfa
83987,US1TXAT0010,29.0728,-98.4812,150.0,TX,LEMING 0.1 E,,,,Cfa
83988,US1TXAT0015,28.8869,-98.4601,124.7,TX,PLEASANTON 5.7 SSE,,,,Cfa
83989,US1TXAT0016,29.0049,-98.4185,135.0,TX,PLEASANTON 5.2 ENE,,,,Cfa
83990,US1TXAT0018,28.965,-98.485,109.7,TX,PLEASANTON 0.4 E,,,,Cfa
83991,US1TXAT0019,28.7861,-98.5215,104.5,TX,CHRISTINE 1.4 W,,,,Cfa
83992,US1TXAT0021,28.9789,-98.5837,139.6,TX,JOURDANTON 5.2 NNW,,,,Cfa
83993,US1TXAT0023,28.963,-98.5012,124.7,TX,PLEASANTON 0.6 W,,,,Cfa
83994,US1TXAT0025,29.0529,-98.3778,147.8,TX,PLEASANTON 9.1 NE,,,,Cfa
83995,US1TXAT0026,29.0478,-98.655,155.8,TX,POTEET 4.9 W,,,,Cfa
83996,US1TXAT0028,29.2069,-98.7853,207.3,TX,LYTLE 2.0 SSE,,,,Cfa
83997,US1TXAT0034,29.0644,-98.5983,160.0,TX,POTEET 2.3 NW,,,,Cfa
83998,US1TXAT0037,28.9609,-98.5241,133.8,TX,PLEASANTON 2.0 W,,,,Cfa
83999,US1TXAT0038,28.9202,-98.5475,143.9,TX,JOURDANTON 0.6 NW,,,,Cfa
84000,US1TXAT0042,28.8541,-98.7072,164.9,TX,CHARLOTTE 0.6 SW,,,,Cfa
84001,US1TXAT0045,29.0294,-98.4996,130.1,TX,PLEASANTON 4.5 N,,,,Cfa
84002,US1TXAT0046,29.0384,-98.4943,134.1,TX,PLEASANTON 5.1 N,,,,Cfa
84003,US1TXAT0049,28.7709,-98.3079,75.3,TX,CAMPBELLTON 1.6 N,,,,Cfa
84004,US1TXBEE003,28.3198,-97.7608,68.0,TX,BEEVILLE 6.0 S,,,,Cfa
84005,US1TXBEE005,28.3594,-97.651,57.0,TX,BEEVILLE 6.8 ESE,,,,Cfa
84006,US1TXBEE007,28.4203,-97.7429,68.9,TX,BEEVILLE 1.1 NNE,,,,Cfa
84007,US1TXBEE009,28.4086,-97.748,67.4,TX,BEEVILLE 0.2 NNE,,,,Cfa
84008,US1TXBEE010,28.4506,-97.8038,95.7,TX,BEEVILLE 4.5 NW,,,,Cfa
84009,US1TXBEE012,28.56,-98.022,89.9,TX,PAWNEE 6.0 SSW,,,,Cfa
84010,US1TXBEE017,28.5335,-97.7747,95.4,TX,NORMANNA 0.5 ENE,,,,Cfa
84011,US1TXBEE018,28.2751,-97.7601,57.0,TX,BEEVILLE 9.0 S,,,,Cfa
84012,US1TXBEL001,31.0229,-97.2493,158.5,TX,TEMPLE 8.5 SE,,,,Cfa
84013,US1TXBEL002,31.0855,-97.4649,189.9,TX,BELTON 1.2 N,,,,Cfa
84014,US1TXBEL003,31.0765,-97.6371,233.8,TX,HARKER HEIGHTS 1.5 NE,,,,Cfa
84015,US1TXBEL005,31.076,-97.6773,256.0,TX,HARKER HEIGHTS 1.7 NW,,,,Cfa
84016,US1TXBEL008,31.1239,-97.4733,210.9,TX,BELTON 3.9 N,,,,Cfa
