month,Central,East,Gulf Coast,Panhandle,West
1,17.77260311307874,35.62420570079884,22.402502785377294,4.854047379755922,5.634970871216708
2,19.8937172085783,36.77966200031496,20.97797668856369,6.1702487367604295,6.468018865588869
3,21.70130267204486,35.59578014716924,20.08266479075615,9.456362783352978,6.8221477353668245
4,27.996793509513214,38.837719986196944,25.60395955875444,13.699421490512679,10.31898903558101
5,41.07607337033399,43.69801255150747,38.23258496868224,25.435838293371738,18.75103642018103
6,29.31006598628898,38.6754668282434,35.120058474268525,26.229887123236843,18.577649497595946
7,19.430754575575552,31.803170982091935,28.029340716011184,21.118447302277875,16.457701480947364
8,20.965815060349236,29.770866135743027,29.384081427024288,22.060518748237946,17.46312888047443
9,31.798365845932224,33.754146701068926,43.717348633549754,18.66924409145776,21.69363377728832
10,30.394519654244355,34.304570575965656,31.594128835759086,15.69002833150702,15.075198849165702
11,21.382025561091115,37.879589093852914,24.936732808031866,7.052653411952947,7.023035987513641
12,19.289052340206993,40.17039458109646,23.137389410065655,5.779842011186069,5.962121557931735
